n, t
814080, 330
815104, 331
816128, 331
817152, 331
818176, 333
819200, 332
820224, 332
821248, 334
822272, 331
823296, 335
824320, 328
825344, 329
826368, 329
827392, 332
828416, 329
829440, 333
830464, 332
831488, 334
832512, 334
833536, 339
834560, 334
835584, 334
836608, 332
837632, 333
838656, 335
839680, 337
840704, 335
841728, 337
842752, 335
843776, 334
844800, 338
845824, 339
846848, 337
847872, 336
848896, 335
849920, 341
850944, 336
851968, 339
852992, 336
854016, 345
855040, 338
856064, 342
857088, 339
858112, 340
859136, 339
860160, 347
861184, 339
862208, 345
863232, 340
864256, 345
865280, 345
866304, 347
867328, 341
868352, 342
869376, 345
870400, 344
871424, 349
872448, 343
873472, 344
874496, 344
875520, 342
876544, 347
877568, 348
878592, 343
879616, 347
880640, 352
881664, 351
882688, 349
883712, 353
884736, 346
885760, 351
886784, 350
887808, 350
888832, 357
889856, 347
890880, 354
891904, 353
892928, 351
893952, 352
894976, 353
896000, 352
897024, 353
898048, 354
899072, 355
900096, 355
901120, 352
902144, 356
903168, 356
904192, 354
905216, 361
906240, 358
907264, 356
908288, 359
909312, 358
910336, 362
911360, 360
912384, 367
913408, 358
914432, 359
915456, 360
916480, 360
917504, 361
918528, 361
919552, 362
920576, 362
921600, 367
922624, 368
923648, 371
924672, 364
925696, 366
926720, 365
927744, 366
928768, 367
929792, 362
930816, 368
931840, 367
932864, 366
933888, 372
934912, 361
935936, 366
936960, 365
937984, 369
939008, 372
940032, 374
941056, 367
942080, 370
943104, 369
944128, 501
945152, 419
946176, 495
947200, 419
948224, 371
949248, 371
950272, 375
951296, 376
952320, 375
953344, 375
954368, 377
955392, 384
956416, 372
957440, 372
958464, 373
959488, 375
960512, 376
961536, 378
962560, 374
963584, 377
964608, 378
965632, 380
966656, 378
967680, 379
968704, 382
969728, 376
970752, 384
971776, 382
972800, 382
973824, 386
974848, 386
975872, 387
976896, 387
977920, 387
978944, 389
979968, 385
980992, 386
982016, 386
983040, 387
984064, 384
985088, 387
986112, 387
987136, 394
988160, 386
989184, 388
990208, 391
991232, 388
992256, 395
993280, 388
994304, 386
995328, 391
996352, 387
997376, 390
998400, 387
999424, 391
1000448, 392
1001472, 390
1002496, 395
1003520, 391
1004544, 392
1005568, 394
1006592, 387
1007616, 399
1008640, 392
1009664, 390
1010688, 390
1011712, 394
1012736, 392
1013760, 394
1014784, 393
1015808, 398
1016832, 400
1017856, 398
1018880, 393
1019904, 398
1020928, 394
1021952, 395
1022976, 394
1024000, 398
1025024, 396
1026048, 396
1027072, 399
1028096, 402
1029120, 398
1030144, 401
1031168, 400
1032192, 404
1033216, 405
1034240, 394
1035264, 398
1036288, 404
1037312, 402
1038336, 397
1039360, 399
1040384, 406
1041408, 401
1042432, 402
1043456, 407
1044480, 401
1045504, 405
1046528, 406
1047552, 401
1048576, 409
